id_str,favorite_count,retweet_count,text
0,876484053909872640,17633,2172,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super du… https://t.co/ccBFQU5UWO
1,886366144734445568,19803,2888,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 dee… https://t.co/iIu3AF8IWH
2,877611172832227328,0,73,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 https://t.co/dJx4Gzc50G
3,888078434458587136,20412,3161,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want th… https://t.co/UibDBnVpvR
4,891689557279858688,39460,7867,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ
5,879492040517615616,22009,2908,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8
6,878604707211726848,28253,6492,Martha is stunning how h*ckin dare you. 13/10 https://t.co/9uABQXgjwa
7,879674319642796032,297,10,@RealKentMurphy 14/10 confirmed
8,884876753390489600,26095,5088,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great L… https://t.co/DbNzLkDIxh
9,882992080364220416,22372,3554,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj
10,876120275196170240,26273,4281,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scr… https://t.co/9NqZV4WwyX"
11,889880896479866880,26152,4543,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g
12,885518971528720384,19185,3405,I have a new hero and his name is Howard. 14/10 https://t.co/gzLHboL7Sk
13,879862464715927552,20976,3196,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9
14,877556246731214848,21283,3485,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would en… https://t.co/rc53DmRHwK
15,890971913173991424,11049,1847,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below… https://t.co/MV01Q820LT
16,890006608113172480,28745,6676,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a pe… https://t.co/jy2alqaYPH
17,873580283840344064,22797,3615,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13… https://t.co/jbitZ0V20S"
18,880935762899988480,16009,2547,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking https://t.co/D0wb1GlKAt
19,891815181378084864,23488,3777,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.… https://t.co/r0YlrsGCgy
20,877201837425926144,25436,5108,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congra… https://t.co/kVwm88J6Yr
21,886267009285017600,111,4,@NonWhiteHat @MayhewMayhem omg hello tanner you are a scary good boy 12/10 would pet with extreme caution
22,873337748698140672,0,1468,"RT @dog_rates: This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https:/…"
23,875747767867523072,23642,3910,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal… https://t.co/XRwtpQiJ15"
24,889278841981685760,23610,4858,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*cki… https://t.co/qw5xRwBaIv
25,879415818425184256,99136,40584,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY
26,882268110199369728,41998,10557,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA
27,880465832366813184,26705,5674,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw
28,887101392804085760,28687,5441,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suff… https://t.co/UgW2xbO7Rg
29,884162670584377344,19118,2733,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for… https://t.co/KcQj5mNR4m
30,879376492567855104,15750,2859,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get… https://t.co/RqUrIisQta
31,874057562936811520,21361,3657,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Than… https://t.co/0MXV9ZDhS5"
32,875144289856114688,20596,4505,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both 13/10 w… https://t.co/wK0pt8Cnck
33,885528943205470208,33669,5825,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF
34,878776093423087616,18158,3735,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back… https://t.co/0Uxl9Gq7hN
35,880872448815771648,19941,3493,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only plea… https://t.co/1nxJLhk0Sd
36,885984800019947520,30508,6123,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 1… https://t.co/lWeeGBBXmE
37,874434818259525632,0,13341,RT @dog_rates: This is Coco. At first I thought she was a cloud but clouds don't bork with such passion. 12/10 would hug softly https://t.c…
38,881633300179243008,117,7,@roushfenway These are good dogs but 17/10 is an emotional impulse rating. More like 13/10s
39,883482846933004288,42931,9009,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948"
40,884562892145688576,22771,4288,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5
41,889665388333682688,45009,9114,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm
42,874680097055178752,26133,4248,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD
43,887473957103951872,64391,16386,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX
44,892177421306343424,31198,5694,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boop… https://t.co/aQFSeaCu9L"
45,884441805382717440,25394,5198,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (I… https://t.co/JkL9KmUt8X"
46,873213775632977920,6747,1468,This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below… https://t.co/CWPYZJvjrI
47,890240255349198848,29871,6687,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant… https://t.co/l3TSS3o2M0
48,881268444196462592,21775,4812,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate… https://t.co/J4Q5YjzLH0
49,891087950875897856,18981,2840,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:… https://t.co/xx5cilW0Dd
50,879130579576475648,0,6212,RT @dog_rates: This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://…
51,886680336477933568,21054,4078,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA
52,878281511006478336,7256,1179,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below… https://t.co/5HuiInQveF"
53,878404777348136960,0,1179,"RT @dog_rates: Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https:/…"
54,886054160059072512,0,100,RT @Athletics: 12/10 #BATP https://t.co/WxwJmvjfxo
55,888917238123831296,27261,4098,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN
56,890729181411237888,60938,17189,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13… https://t.co/hrcFOGi12V
57,881536004380872704,46342,14565,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: p… https://t.co/w1FVZz0JFM"
58,872967104147763200,25685,4989,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10… https://t.co/8rpIJr9sAC
59,887343217045368832,31537,9544,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV
60,885311592912609280,0,16883,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5
61,877316821321428992,25723,4766,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for wa… https://t.co/tVXlmh3uX3"
62,885167619883638784,20513,3986,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongu… https://t.co/JMU4y341NB
63,889638837579907072,25341,4083,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR
64,876838120628539392,19431,3048,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug pa… https://t.co/zuDk9mBEMO
65,879050749262655488,21117,4287,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/1… https://t.co/ffTAMZt2n7
66,892420643555336192,36164,7701,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU
67,886983233522544640,32716,6993,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT
68,876537666061221888,22205,4296,I can say with the pupmost confidence that the doggos who assisted with this search are heroic as h*ck. 14/10 for a… https://t.co/ghfhFSYrMm
69,877736472329191424,74445,17329,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r
70,874296783580663808,24487,3768,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm
71,874012996292530176,32265,9408,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy.… https://t.co/jonYjPNmYx"
72,888804989199671296,23974,3865,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 wou… https://t.co/L5cCoR2huQ
73,890609185150312448,26118,3911,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10… https://t.co/UkrdQyoYxV
74,887705289381826560,28341,4910,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ck… https://t.co/m7BR4JgDrZ
75,875097192612077568,25790,5573,You'll get your package when that precious man is done appreciating the pups. 13/10 for everyone https://t.co/PFp4MghzBW
76,875021211251597312,23969,4331,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck https://t.co/brCQoqc8AW
77,886258384151887872,26220,5759,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O
78,878057613040115712,39492,6212,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe
79,880095782870896640,25874,3961,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good p… https://t.co/yxYE3cWcCP
80,887517139158093824,43444,10731,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba
81,883117836046086144,34761,6055,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E"
82,884925521741709312,72234,16501,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa"
83,882045870035918848,27465,4460,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13… https://t.co/cj0lK9TLUv"
84,883360690899218432,21242,3373,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpupti… https://t.co/vAdjP5ANuJ
85,878316110768087040,0,6088,RT @dog_rates: Meet Terrance. He's being yelled at because he stapled the wrong stuff together. 11/10 hang in there Terrance https://t.co/i…
86,880221127280381952,25261,3802,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well https://t.co/fUod0tVmvK
87,883838122936631296,20484,3134,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup… https://t.co/zrf7IQnlHI
88,879008229531029504,17817,2451,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN
89,882762694511734784,26491,4459,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu
90,888554962724278272,18498,3176,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK
91,882627270321602560,26236,5541,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (… https://t.co/KoU1kxPBcn
92,881666595344535552,47452,9739,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s
93,884247878851493888,68026,18521,OMG HE DIDN'T MEAN TO HE WAS JUST TRYING A LITTLE BARKOUR HE'S SUPER SORRY 13/10 WOULD FORGIVE IMMEDIATE https://t.co/uF3pQ8Wubj
94,881906580714921984,22803,3103,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ
95,886736880519319552,11232,2931,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help… https://t.co/RipKYZ0T1u"
96,891327558926688256,37670,8475,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected a… https://t.co/0g0KMIVXZ3"
97,889531135344209920,14183,2056,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo… https://t.co/Ya3bdfYuCx
98,858860390427611136,0,7716,"RT @dog_rates: Meet Winston. He knows he's a little too big for the swing, but he doesn't care. Kindly requests a push. 12/10 would happily…"
99,868639477480148992,0,1935,"RT @dog_rates: Say hello to Cooper. His expression is the same wet or dry. Absolute 12/10 but Coop desperately requests your help

https://…"
100,858471635011153920,20719,4626,This is Sophie. She just arrived. Used pawority shipping. Speedy as h*ck delivery. 13/10 would carefully assemble https://t.co/8jOC4zhNxy
